,Official English Name,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Bounty,norm_bounty,haki_score,recent_freq,total_appearances,activity_score,alive,affiliation,total_bounty,norm_crew_bounty,road_poneglyph,crew_score,closeness
200,Charlotte Akimeg,December 2,0,0,0,0,,18.0,,,,,0.0,0.0,0.0,0.0,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
201,Charlotte Allmeg,December 2,0,0,0,0,,18.0,,,,,0.0,0.0,0.0,0.0,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
202,Charlotte Amande,December 10,0,0,0,0,,47.0,,,0.0,0.0,0.0,0.0,12.0,0.003991130820399113,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.13946411417591434
203,Charlotte Anana,April 17,0,0,0,0,,8.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
204,Charlotte Angel,February 28,0,0,0,0,Grand Line,45.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
205,Charlotte Anglaise,October 19,0,0,0,0,,14.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
206,Charlotte Basans,,0,0,0,0,,34.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
207,Charlotte Bassquarte,January 23,0,0,0,0,,42.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
208,Charlotte Bavarois,October 29,0,0,0,0,,30.0,,,,,0.0,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
209,Charlotte Brownie,,0,0,0,0,,24.0,,,,,0.0,0.01,6.0,0.008995565410199555,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
210,Charlotte Broye,March 6,0,0,0,0,Grand Line,43.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
211,Charlotte Brulee,March 6,1,0,0,0,Grand Line,43.0,350.0,S,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
212,Charlotte Cabaletta,September 29,0,0,1,0,,46.0,,,,,0.3,0.0,2.0,0.0006651884700665188,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
213,Charlotte Cadenza,September 29,0,0,1,0,,46.0,,,,,0.3,0.0,2.0,0.0006651884700665188,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
214,Charlotte Chiboust,,0,0,0,0,,27.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
215,Charlotte Chiffon,January 27,0,0,0,0,Grand Line,26.0,215.0,F,,,0.0,0.0,25.0,0.008314855875831485,True,Fire Tank Pirates,535000000.0,0.8576946465883621,0.0,0.5146167879530172,
216,Charlotte Cinnamon,October 12,0,0,0,0,Grand Line,35.0,,,,,0.0,0.0,14.0,0.004656319290465632,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
217,Charlotte Citron,October 12,0,0,0,0,Grand Line,35.0,,,,,0.0,0.0,10.0,0.0033259423503325942,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
218,Charlotte Compo,,0,0,0,0,,39.0,,,,,0.0,0.0,6.0,0.0019955654101995565,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
219,Charlotte Compote,October 15,0,0,0,0,,49.0,,,,,0.0,0.0,9.0,0.0029933481152993346,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
220,Charlotte Cornstarch,December 16,0,0,0,0,,40.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
221,Charlotte Counter,September 29,0,0,1,0,,46.0,,,,,0.3,0.0,3.0,0.0009977827050997783,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
222,Charlotte Cracker,February 28,1,1,1,0,Grand Line,45.0,307.0,X,860000000.0,0.9167866906882066,0.4,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.5341675271473431
223,Charlotte Custard,February 28,0,0,0,0,Grand Line,45.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
224,Charlotte Dacquoise,,0,0,0,0,,32.0,,,,,0.0,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
225,Charlotte Daifuku,November 25,1,1,1,0,Grand Line,48.0,489.0,X,300000000.0,0.8698543051941867,0.4,0.01,25.0,0.015314855875831484,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.5226851507452568
226,Charlotte De-Chat,,0,0,0,0,,11.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
227,Charlotte Dolce and Dragée,February 21,0,0,0,0,,9.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
228,Charlotte Dolce and Dragée,February 21,0,0,0,0,,9.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
229,Charlotte Dosmarche,January 23,0,0,0,0,,42.0,,,,,0.0,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
230,Charlotte Dolce and Dragée,February 21,0,0,0,0,,9.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
231,Charlotte Dolce and Dragée,February 21,0,0,0,0,,9.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
232,Charlotte Effiler,December 10,0,0,0,0,,47.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
233,Charlotte Flampe,February 11,0,0,0,0,Grand Line,15.0,170.0,S,,,0.0,0.0,6.0,0.0019955654101995565,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
234,Charlotte Fuyumeg,December 2,0,0,0,0,,18.0,,,,,0.0,0.0,0.0,0.0,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
235,Charlotte Gala,September 29,0,0,0,0,,46.0,,,,,0.0,0.0,0.0,0.0,True,,,,,,
236,Charlotte Galette,October 19,1,0,0,0,,31.0,,,,,0.0,0.0,18.0,0.005986696230598669,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
237,Charlotte Hachee,December 10,0,0,0,0,,47.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
238,Charlotte Harumeg,December 2,0,0,0,0,,18.0,,,,,0.0,0.0,0.0,0.0,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
239,Charlotte High-Fat,,0,0,0,0,,36.0,,,,,0.0,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
240,Charlotte Joconde,,0,0,0,0,,23.0,,,,,0.0,0.0,2.0,0.0006651884700665188,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
241,Charlotte Joscarpone,February 27,0,0,0,0,,20.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
242,Charlotte Kanten,,0,0,0,0,,28.0,,,,,0.0,0.0,5.0,0.0016629711751662971,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
243,Charlotte Katakuri,November 25,1,1,1,1,Grand Line,48.0,509.0,XF,1057000000.0,0.9259783175510372,1.0,0.02,35.0,0.02564079822616408,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.7215875429223786
244,Kato,,0,0,0,0,,28.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
245,Charlotte Laurin,,0,0,0,0,,39.0,,,,,0.0,0.0,8.0,0.0026607538802660754,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
246,Charlotte Linlin,February 15,1,1,1,1,Grand Line,68.0,880.0,X,4388000000.0,0.9894121927614007,1.0,0.14,119.0,0.13757871396895788,False,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.0
247,Charlotte Lola,January 27,0,0,0,0,Grand Line,24.0,215.0,F,24000000.0,0.75729818455946,0.0,0.0,0.0,0.0,True,Rolling Pirates,24000000.0,0.7252189640476802,0.0,0.4351313784286081,0.3142157310535596
248,Charlotte Maple,November 17,0,0,0,0,,25.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
249,Charlotte Marble,November 17,0,0,0,0,,25.0,,,,,0.0,0.0,2.0,0.0006651884700665188,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
250,Charlotte Marnier,December 20,0,0,0,0,,37.0,,,,,0.0,0.0,5.0,0.0016629711751662971,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
251,Charlotte Mascarpone,February 27,0,0,0,0,,20.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
252,Charlotte Mash,December 16,0,0,0,0,,40.0,,,,,0.0,0.0,5.0,0.0016629711751662971,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
253,Charlotte Melise,,0,0,0,0,,33.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
254,Charlotte Mobile,November 17,0,0,0,0,,25.0,,,,,0.0,0.01,15.0,0.011988913525498891,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
255,Charlotte Monder,December 10,0,0,0,0,,47.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
256,Charlotte Montd'OrCharlotte Mont-d'Or,April 23,1,0,0,0,Grand Line,38.0,260.0,X,120000000.0,0.8290208881174065,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
257,Charlotte Montb,,0,0,0,0,,28.0,,,,,0.0,0.0,2.0,0.0006651884700665188,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
258,Charlotte Moscato,December 16,0,0,0,0,,40.0,,,,,0.0,0.01,3.0,0.007997782705099777,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
259,Charlotte Mozart,December 20,0,0,0,0,,37.0,,,,,0.0,0.0,3.0,0.0009977827050997783,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
260,Charlotte Myukuru,November 17,0,0,0,0,,25.0,,,,,0.0,0.0,9.0,0.0029933481152993346,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
261,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
262,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
263,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
264,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
265,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
266,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
267,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
268,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
269,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
270,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
271,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
272,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
273,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
274,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
275,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
276,Decuplets,December 2,0,0,0,0,,18.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
277,Charlotte Newshi,December 2,1,0,0,0,,18.0,,,,,0.0,0.0,0.0,0.0,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
278,Charlotte Noisette,December 15,0,0,0,0,,41.0,,,,,0.0,0.0,6.0,0.0019955654101995565,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
279,Charlotte Normande,,0,0,0,0,,10.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
280,Charlotte Nougat,,0,0,0,0,,17.0,,,,,0.0,0.0,5.0,0.0016629711751662971,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
281,Charlotte Nusstorte,January 23,0,0,0,0,,42.0,,,,,0.0,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
282,Charlotte Nutmeg,December 2,0,0,0,0,,18.0,,,,,0.0,0.0,0.0,0.0,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
283,Charlotte Opera,September 29,1,0,0,0,,46.0,,,,,0.0,0.0,11.0,0.0036585365853658534,False,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.0
284,Charlotte Oven,November 25,1,1,1,0,Grand Line,48.0,492.0,F,300000000.0,0.8698543051941867,0.4,0.01,22.0,0.014317073170731706,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.5224855942042369
285,Charlotte Panna,,0,0,0,0,,21.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
286,Charlotte Perospero,March 14,1,0,0,0,Grand Line,50.0,333.0,X,700000000.0,0.9076131363478147,0.0,0.0,47.0,0.015631929046563194,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.4140762147254915
287,Charlotte Poire,October 19,0,0,0,0,,31.0,,,,,0.0,0.0,7.0,0.002328159645232816,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
288,Charlotte Praline,July 22,0,0,0,0,Grand Line,29.0,800.0,S (RH-),,,0.0,0.0,6.0,0.0019955654101995565,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
289,Charlotte Prim,July 22,0,0,0,0,Grand Line,29.0,,,,,0.0,0.0,3.0,0.0009977827050997783,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
290,Charlotte Pudding,June 25,1,0,0,0,Grand Line,16.0,166.0,XF,,,0.0,0.02,37.0,0.026305986696230597,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
291,Charlotte Raisin,March 23,0,0,1,0,,22.0,,,,,0.3,0.0,6.0,0.0019955654101995565,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
292,Charlotte Saintmarc,,0,0,0,0,,34.0,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
293,Charlotte Smoothie,October 12,1,1,1,0,Grand Line,35.0,464.0,F,932000000.0,0.9203696409518132,0.4,0.01,30.0,0.016977827050997783,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.538172345707578
294,Charlotte Snack,October 29,0,0,0,0,,30.0,,,600000000.0,0.9007435928637215,0.0,0.0,3.0,0.0009977827050997783,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.4090885224119709
295,Charlotte Tablet,,0,0,0,0,,36.0,,,,,0.0,0.0,13.0,0.004323725055432372,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
296,Charlotte Wafers,,0,0,0,0,,13.0,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
297,Charlotte Uiro,,0,0,0,0,,12.0,,,,,0.0,,,,True,,,,,,
298,Charlotte Yuen,October 15,0,0,0,0,,19.0,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
299,Charlotte Zuccotto,,0,0,0,0,,44.0,,,,,0.0,0.01,8.0,0.009660753880266075,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
300,Chess,July 20,0,0,0,0,Grand Line,30.0,194.0,S,,,0.0,0.0,10.0,0.0033259423503325942,True,Bliking Pirates,0.0,0.0,0.0,0.0,
301,Chesskipper,,0,0,0,0,,,,,0.0,0.0,0.0,,,,False,,,,,,0.0
302,Chessmarimo,,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Bliking Pirates,0.0,0.0,0.0,0.0,
303,Choo,May 23,0,0,0,0,Grand Line,33.0,257.0,X,5500000.0,0.6916420557801086,0.0,,,,True,,,,,,
304,Chichilisia,,0,0,0,0,,,,,,,0.0,0.01,1.0,0.007332594235033259,True,,,,,,
305,Mrs. Chicken,February 8,0,0,0,0,East Blue,,,,,,0.0,,,,True,,,,,,
306,,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
307,Chimney,June 2,0,0,0,0,Grand Line,8.0,115.0,S,,,0.0,0.0,44.0,0.014634146341463414,True,,,,,,
308,Qing Jiao,December 12,0,0,0,0,West Blue,78.0,520.0,F,542000000.0,0.8962130718760387,0.0,,,,True,,,,,,
309,Chihaya,,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
310,Chiya,,0,0,0,0,Jaya,,,,,,0.0,0.0,1.0,0.0003325942350332594,False,,,,,,0.0
311,Ocho,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
312,Chochin-Man,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
313,Chocho,,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
314,Choco-Police,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
315,Chocolat,September 21,0,0,0,0,East Blue,26.0,181.0,X,,,0.0,0.0,0.0,0.0,False,,,,,,0.0
316,Choi,,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
317,Chokyumei-no Chosuke,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
318,Chome,April 24,0,0,0,0,Grand Line,14.0,150.0,F,,,0.0,0.0,9.0,0.0029933481152993346,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
319,Chouchou,November 22,0,0,0,0,East Blue,14.0,40.0,,,,0.0,0.01,5.0,0.008662971175166297,True,,,,,,
320,Chuchun,,0,0,0,0,,,,,,,0.0,0.0,12.0,0.003991130820399113,True,Foxy Pirates,954001000.0,0.8823784131843806,0.0,0.5294270479106283,
321,Chuji,,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,True,,,,,,
322,Clapp,,0,0,0,0,South Blue,,,,,,0.0,0.0,0.0,0.0,False,,,,,,0.0
323,Clione,February 17,0,0,0,0,,,,,,,0.0,0.0,15.0,0.004988913525498891,False,Heart Pirates,3000001500.0,0.9312725576728043,0.0,0.5587635346036826,0.0
324,Clou D. Clover,April 8,0,0,0,0,West Blue,,172.0,X,,,0.0,0.0,0.0,0.0,False,,,,,,0.0
325,Coburn,,0,0,0,0,Jaya,,,,,,0.0,0.0,4.0,0.0013303769401330377,False,,,,,,0.0
326,Cocoa,November 7,0,0,0,0,East Blue,27.0,138.0,X,,,0.0,0.0,0.0,0.0,True,,,,,,
327,Buckox,February 19,0,0,0,0,East Blue,,,,,,0.0,,,,True,,,,,,
328,Collun,,0,0,0,0,,20.0,,,,,0.0,,,,True,,,,,,
329,Colscon,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
330,Columbus,May 16,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
331,Comille,October 1,0,0,0,0,,,,,500000000.0,0.8926186474302545,0.0,,,,True,,,,,,
332,Compo,,0,0,0,0,,,,,,,0.0,0.01,2.0,0.0076651884700665186,False,Kid Pirates,3200000000.0,0.9340267883704848,0.0,0.5604160730222909,0.0
333,Concelot,November 2,0,0,0,0,Grand Line,29.0,204.0,F,,,0.0,0.01,15.0,0.011988913525498891,True,,,,,,
334,Conis,May 20,0,0,0,0,Grand Line,19.0,176.0,F,,,0.0,0.01,32.0,0.0176430155210643,True,,,,,,
335,Conney,May 21,0,0,0,0,South Blue,76.0,7.0,XF,,,0.0,0.03,3.0,0.021997782705099778,True,,,,,,
336,Corgy,August 25,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
337,Coribou,May 2,0,0,0,0,North Blue,29.0,250.0,XF,190000000.0,0.8494994050226481,0.0,0.0,5.0,0.0016629711751662971,True,Caribou Pirates,400000000.0,0.8452843444128213,0.0,0.5071706066476928,0.3566165370713662
338,Cornelia,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
339,Cosette,May 2,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
340,Cosmo,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
341,Cosmos,September 26,0,0,0,0,Calm Belt,,,,,,0.0,0.01,6.0,0.008995565410199555,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,
342,Cotton,,0,0,0,0,,,,,,,0.0,0.0,22.0,0.007317073170731707,True,Tontatta Pirates,129000000.0,0.7969898506827009,0.0,0.4781939104096205,
343,Couran,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
344,,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
345,Crocodile,September 5,1,1,1,0,Grand Line,44.0,253.0,S,1965000000.0,0.9536104514557033,0.4,0.05,66.0,0.05695121951219512,True,Cross Guild,8848000000.0,0.9774301107626138,0.0,0.5864580664575683,0.5347649926306637
346,Crocus,June 4,0,1,0,0,Grand Line,71.0,203.0,XF,0.0,0.0,0.1,0.03,12.0,0.02499113082039911,True,,,,,,
347,Curiel,September 12,0,0,0,0,Grand Line,,,,,,0.0,0.0,15.0,0.004988913525498891,True,,,,,,
348,Curly Dadan,August 30,0,0,0,0,East Blue,43.0,221.0,X,7800000.0,0.707211567373389,0.0,0.01,10.0,0.010325942350332594,True,,,,,,
349,Shirano,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
350,D.R.,,0,0,0,0,,,,,1800000.0,0.6418660019333967,0.0,0.0,0.0,0.0,False,,,,,,0.0
351,,,1,0,0,0,,,,,,,0.0,,,,True,,,,,,
352,,,0,0,0,0,East Blue,,,,,,0.0,,,,True,,,,,,
353,Dagama,September 26,0,0,0,0,,,,,,,0.0,0.01,20.0,0.013651884700665189,True,,,,,,
354,Dago,,0,0,0,0,,,,,,,0.0,0.0,16.0,0.005321507760532151,True,,,,,,
355,Daedalus,,0,0,0,0,Grand Line,,,,,,0.0,,,,False,,,,,,0.0
356,Daifugo,,1,0,0,0,,,,,,,0.0,0.0,13.0,0.004323725055432372,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
357,Daigin,August 24,0,0,0,0,West Blue,,,,100000000.0,0.8208959427433579,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
358,Daikoku,May 12,0,0,0,0,Grand Line,42.0,436.0,S,,,0.0,0.0,12.0,0.003991130820399113,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
359,Daikon,,0,0,0,0,,,,,,,0.0,0.0,6.0,0.0019955654101995565,True,,,,,,
360,Daisy,February 15,0,0,0,0,Calm Belt,,,,,,0.0,0.0,9.0,0.0029933481152993346,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,
361,Dalmatian,November 1,0,0,0,0,,,,,500000000.0,0.8926186474302545,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
362,DaltonDolton,June 10,1,0,0,0,Grand Line,33.0,218.0,X,,,0.0,,,,True,,,,,,
363,Damask,,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,True,,,,,,
364,Daruma,July 8,0,0,0,0,Grand Line,30.0,122.0,F,,,0.0,0.0,18.0,0.005986696230598669,True,New Fish-Man Pirates,73000000.0,0.7726920899893681,0.0,0.46361525399362086,
365,Dashiteyaro,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
366,Davy D. Jones,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,False,,,,,,0.0
367,Daz Bonez,January 1,1,0,0,0,West Blue,29.0,212.0,F,75000000.0,0.8080757301522095,0.0,0.0,13.0,0.004323725055432372,True,Cross Guild,8848000000.0,0.9774301107626138,0.0,0.5864580664575683,0.36057907734826294
368,DeCalvan Brothers,May 22,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
369,Deigoro,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
370,Delacuaji,September 1,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
371,Dellinger,August 11,0,0,0,0,North Blue,16.0,145.0,S (RH-),15000000.0,0.7363530274855393,0.0,0.0,17.0,0.00565410199556541,True,,,,,,
372,Demaro Black,May 5,0,0,0,0,East Blue,36.0,245.0,S,26000000.0,0.7608651934133659,0.0,,,,True,,,,,,
373,Demoni Aiyo,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
